ZPL3001386,FAZOLI'S,03924046,2512 S SONCY RD,AMARILLO,TX,US,71
ZPL3001391,FUDDRUCKERS,03978061,4360 KINGWOOD DR,KINGWOOD,TX,US,71
ZPL3001403,PEI WEI ASIAN DINER,03889624,1085 W QUEEN CREEK RD,CHANDLER,AZ,US,71
ZPL300141Y,FUDDRUCKERS,03585196,5601 SW LOOP 820,FORT WORTH,TX,US,71
ZPL300142T,FUDDRUCKERS,01509670,5500 GREENVILLE AVE,DALLAS,TX,US,71
ZPL300144J,PEI WEI ASIAN DINER,04359645,1560 LEUCADIA BLVD STE A,ENCINITAS,CA,US,71
ZPL300145E,FUDDRUCKER,05813349,1732 S LOOP 288,DENTON,TX,US,71
ZPL3001469,PEI WEI ASIAN DINER,03889624,1085 W QUEEN CREEK RD,CHANDLER,AZ,US,71
ZPL3001474,THE BURGER JOINT,01522563,3960 W POINT LOMA BLVD STE J,SAN DIEGO,CA,US,71
ZPL300148Z,FUDDRUCKERS,03928913,4910 DUBLIN BLVD,DUBLIN,CA,US,71
ZPL300149U,MR GOODCENTS SUBS & PASTAS,05564560,5633 S 16TH ST STE 300,LINCOLN,NE,US,71
ZPL300150W,FUDDRUCKERS,03904070,7511 FM 1960 RD W,HOUSTON,TX,US,71
ZPL300151R,FUDDRUCKERS,01255792,1940 N MAIN ST,WALNUT CREEK,CA,US,71
ZPL300152M,PEI WEI ASIAN DINER,04359645,1560 LEUCADIA BLVD STE A,ENCINITAS,CA,US,71
ZPL300154C,FUDDRUCKERS,02194406,3929 SOUTHWEST FWY,HOUSTON,TX,US,71
ZPL3001557,FUDDRUCKERS,04516885,1975 DIAMOND BLVD STE E260,CONCORD,CA,US,71
ZPL3001562,PALIOS PIZZA,00072996,120 N PRESTON RD STE 10,PROSPER,TX,US,71
ZPL300157X,FUDDRUCKER,05813357,2045 N CENTRAL EXPY,MCKINNEY,TX,US,71
ZPL300159N,PEI WEI ASIAN DINER,03889616,8787 N SCOTTSDALE RD,SCOTTSDALE,AZ,US,71
ZPL300160P,NANDO'S,01456759,224 BOARDWALK PL,GAITHERSBURG,MD,US,71
ZPL300161K,BURGER KING,06918905,350 MARINE DR,ASTORIA,OR,US,71
ZPL300162F,MR GOODCENTS SUBS & PASTAS,03113744,2712 CORNHUSKER HWY STE 4,LINCOLN,NE,US,71
ZPL300163A,GODFATHERS PIZZA,09584773,905 MAIN ST,BILLINGS,MT,US,71
ZPL3001645,Training Dispenser,10101010,1150 Sanctuary Parkway,Alpharetta,GA,,71
ZPL3001650,PEI WEI ASIAN DINER,01442918,6159 N KEYSTONE AVE STE 100,INDIANAPOLIS,IN,US,71
ZPL300166V,7 ELEVEN,02022028,3200 E 45TH AVE,DENVER,CO,US,71
ZPL300167Q,WINGSTOP,01010664,3114 STEINWAY ST,ASTORIA,NY,US,71
ZPL300168L,THE BURGER JOINT,01407446,8420 OLD KEENE MILL RD,SPRINGFIELD,VA,US,71
ZPL300169G,DAVANNI'S,01196788,6345 PENN AVE S,RICHFIELD,MN,US,71
ZPL300171D,THE BURGER JOINT,06241692,3024 WILSON BLVD,ARLINGTON,VA,US,71
ZPL3001733,GO ROMA,08489691,900 MILWAUKEE AVE STE E,LINCOLNSHIRE,IL,US,71
ZPL300174Y,7 ELEVEN,02021986,580 JOSEPHINE ST,DENVER,CO,US,71
ZPL300175T,PEI WEI ASIAN DINER,01404025,1021 N ELMHURST RD,MOUNT PROSPECT,IL,US,71
ZPL300177J,THE BURGER JOINT,01454286,7949 TUCKERMAN LN,POTOMAC,MD,US,71
ZPL300178E,7 ELEVEN,02021803,105 KNOX CT,DENVER,CO,US,71
ZPL3001799,THE BURGER JOINT,00886496,106 N WASHINGTON ST,ALEXANDRIA,VA,US,71
ZPL300180B,MOE'S SOUTHWEST GRILL,07650200,110 SHORTER AVE NW,ROME,GA,US,71
ZPL3001816,FUDDRUCKERS,01574141,550 TURNPIKE ST,NORTH ANDOVER,MA,US,71
ZPL3001821,FUDDRUCKERS,00113420,50 WALKERS BROOK DR,READING,MA,US,71
ZPL300184R,FUDDRUCKERS,09380795,2040 NASA RD 1,HOUSTON,TX,US,71
ZPL300186H,BELLACINOS PIZZA AND GRINDERS,03591196,4662 LEBANON PIKE,HERMITAGE,TN,US,71
ZPL3001887,FUDDRUCKERS,03854361,2290 BUCKTHORNE PL,THE WOODLANDS,TX,US,71
ZPL3001892,FUDDRUCKERS,01457509,1100 LOUISIANA ST STE A80,HOUSTON,TX,US,71
ZPL3001904,PEI WEI ASIAN DINER,08880056,701 W MCDOWELL RD STE 101,PHOENIX,AZ,US,71
ZPL300191Z,FUDDRUCKERS,03585196,5601 SW LOOP 820,FORT WORTH,TX,US,71
ZPL300192U,GO ROMA,08185412,848 N STATE ST,CHICAGO,IL,US,71
ZPL300193P,FUDDRUCKERS,09380817,855 NORMANDY ST,HOUSTON,TX,US,71
ZPL300194K,BURGER KING,06929982,1901 S MILITARY HWY,CHESAPEAKE,VA,US,71
ZPL3001975,FUDDRUCKERS,01457509,1100 LOUISIANA ST STE A80,HOUSTON,TX,US,71
ZPL3001980,FUDDRUCKERS,03952207,115 ALAMO PLAZA,SAN ANTONIO,TX,US,71
ZPL300199V,FUDDRUCKERS,09315373,9845 W INTERSTATE 10,SAN ANTONIO,TX,US,71
ZPL300200I,FUDDRUCKERS,04746176,2111 N INTERSTATE 35 STE 380,ROUND ROCK,TX,US,71
ZPL300201D,PEI WEI ASIAN DINER,08307836,23632 EL TORO RD,LAKE FOREST,CA,US,71
ZPL3002028,BEX GRILL,01437798,706 W LANCASTER BLVD,LANCASTER,CA,US,71
ZPL3002033,BURGER KING,05121043,1122 NORTHSIDE DR NW,ATLANTA,GA,US,71
ZPL300204Y,BURGER KING,05121043,1122 NORTHSIDE DR NW,ATLANTA,GA,US,71
ZPL300205T,SUBWAY,07106004,32545 GOLDEN LANTERN ST STE A,DANA POINT,CA,US,71
ZPL300207J,SUBWAY,08240838,2514 E CHAPMAN AVE,FULLERTON,CA,US,71
ZPL300208E,STERLING RESTAURANTS LLC,02918264,2915 PEACHTREE RD NE,ATLANTA,GA,US,71
ZPL3002099,BEX GRILL,01437798,706 W LANCASTER BLVD,LANCASTER,CA,US,71
ZPL300210B,WINGSTOP,06014636,1251 NORTHWEST HWY,GARLAND,TX,US,71
ZPL3002116,WINGSTOP,05190814,4351 DFW TPKE STE 110,DALLAS,TX,US,71
ZPL3002121,PEI WEI ASIAN DINER,05045317,1302 BISON AVE,NEWPORT BEACH,CA,US,71
ZPL300213W,WINGSTOP,06014636,1251 NORTHWEST HWY,GARLAND,TX,US,71
ZPL300214R,PEI WEI ASIAN DINER,08307836,23632 EL TORO RD,LAKE FOREST,CA,US,71
ZPL300215M,PEI WEI ASIAN DINER,05045317,1302 BISON AVE,NEWPORT BEACH,CA,US,71
ZPL300216H,PEI WEI ASIAN DINER,08158172,601 W 15TH ST STE 101,PLANO,TX,US,71
ZPL300217C,PEI WEI ASIAN DINER,09567194,4801 BELT LINE RD,DALLAS,TX,US,71
ZPL3002192,PEI WEI ASIAN DINER,07358886,12901 N I 35 SVC RD NB 1540,AUSTIN,TX,US,71
ZPL3002204,PEI WEI ASIAN DINER,09567194,4801 BELT LINE RD,DALLAS,TX,US,71
ZPL300221Z,PEI WEI ASIAN DINER,08158172,601 W 15TH ST STE 101,PLANO,TX,US,71
ZPL300223P,PEI WEI ASIAN DINER,08602552,8412 PRESTON RD STE 400,PLANO,TX,US,71
ZPL300225F,PEI WEI ASIAN DINER,08093275,2222 MCKINNEY AVE STE 100,DALLAS,TX,US,71
ZPL3002275,PEI WEI ASIAN DINER,04811882,3001 KNOX ST STE 100,DALLAS,TX,US,71
ZPL3002280,MOE'S SOUTHWEST GRILL,04363650,688 JOHNSON FERRY RD,MARIETTA,GA,US,71
ZPL300232N,PEI WEI ASIAN DINER,08602552,8412 PRESTON RD STE 400,PLANO,TX,US,71
