ZPL305596H,MOVIES 278,07634719,185 METROMONT RD,HIRAM,GA,US,71
ZPL3055987,MOE'S SOUTHWEST GRILL,01528520,2549 W OSCEOLA PKWY,KISSIMMEE,FL,US,71
ZPL3055992,BURGER KING,06007899,517 CAHABA PARK CIR,BIRMINGHAM,AL,US,71
ZPL305600P,BURGER KING,08079447,305 SUNRISE BLVD,DEBARY,FL,US,71
ZPL305601K,BURGER KING,09862293,61 BROADWAY,MALDEN,MA,US,71
ZPL305602F,BURGER KING,02408788,8409 S JOHN YOUNG PKWY,ORLANDO,FL,US,71
ZPL305603A,FIVE GUYS BURGERS AND FRIES,08587056,658A DAWSONVILLE HWY,GAINESVILLE,GA,US,71
ZPL3056045,DAIRY QUEEN GRILL & CHILL,08069667,1055 VETERANS PKWY,CLARKSVILLE,IN,US,71
ZPL3056050,BURGER KING,09552821,858 STATE ROUTE 35,MIDDLETOWN,NJ,US,71
ZPL305606V,BURGER KING,02136457,9590 MAIN ST,WOODSTOCK,GA,US,71
ZPL305607Q,BURGER KING,03598182,5711 NW 176TH ST,HIALEAH,FL,US,71
ZPL305608L,BURGER KING,06981275,100 W ERIE AVE,PHILADELPHIA,PA,US,71
ZPL305609G,BURGER KING,00641081,1725 MARLTON PIKE E,CHERRY HILL,NJ,US,71
ZPL305610I,WINGSTOP SPORT,01515908,1905 CENTRAL BLVD,BROWNSVILLE,TX,US,71
ZPL305611D,FIVE GUYS BURGERS AND FRIES,01537018,6000 N NORTHWEST HWY,CRYSTAL LAKE,IL,US,71
ZPL3056128,BURGER KING,08710538,2114 SHORTER AVE NW,ROME,GA,US,71
ZPL3056133,BURGER KING,01071594,2210 MATTHEWS TOWNSHIP PKWY,MATTHEWS,NC,US,71
ZPL305614Y,BURGER KING,02140594,1555 MONTGOMERY HWY,HOOVER,AL,US,71
ZPL305615T,UNCLE MADDIO'S PIZZA JOINT,01524446,2955 COBB PKWY STE 290,ATLANTA,GA,US,71
ZPL305616O,BURGER KING,06219837,445 GRAYSON HWY,LAWRENCEVILLE,GA,US,71
ZPL305617J,BURGER KING,09204062,10612 SHELDON RD,TAMPA,FL,US,71
ZPL305618E,MOE'S SOUTHWEST GRILL,01526147,3660 S HOUSTON LEVEE RD,COLLIERVILLE,TN,US,71
ZPL3056199,BURGER KING,06226442,5325 PEACHTREE INDUSTRIAL BLVD,NORCROSS,GA,US,71
ZPL305620B,FIREHOUSE SUBS,01442541,11280 S TWENTY MILE RD STE 102,PARKER,CO,US,71
ZPL3056216,MOE'S SOUTHWEST GRILL,08481925,3084 ROUTE 50,SARATOGA SPRINGS,NY,US,71
ZPL3056221,BURGER KING,09706542,9099 BISCAYNE BLVD,MIAMI SHORES,FL,US,71
ZPL305623W,TACO MAYO,08564774,1601 N MAIN ST,ALTUS,OK,US,71
ZPL305624R,MOE'S SOUTHWEST GRILL,00128231,201 N MCPHERSON CHURCH RD,FAYETTEVILLE,NC,US,71
ZPL305625M,BURGER KING,09287965,25 TILTON RD,TILTON,NH,US,71
ZPL305626H,BURGER KING,04929659,44149 HIGHWAY 27,DAVENPORT,FL,US,71
ZPL305627C,BURGER KING,08930406,1936 E OSCEOLA PKWY,KISSIMMEE,FL,US,71
ZPL3056287,BOLOCO,07325113,35 S MAIN ST,HANOVER,NH,US,71
ZPL3056292,FIVE GUYS BURGERS AND FRIES,01127773,9620 RIDGELAND AVE,CHICAGO RIDGE,IL,US,71
ZPL3056304,BURGER KING,03933466,1729 SARDIS RD N,CHARLOTTE,NC,US,71
ZPL305631Z,FIREHOUSE SUBS,05365176,7250 RIVERS AVE UNIT 200 STE 5,CHARLESTON,SC,US,71
ZPL305632U,BURGER KING,08402639,6303 E 82ND ST,CASTLETON,IN,US,71
ZPL305633P,SODEXO HEALTH CARE SERVICES,02012159,2525 DESALES AVE,CHATTANOOGA,TN,US,71
ZPL305634K,BURGER KING,01567522,2953 LAFAYETTE RD,INDIANAPOLIS,IN,US,71
ZPL305635F,BURGER KING,09498192,139 TURNPIKE RD,WESTBOROUGH,MA,US,71
ZPL305636A,BURGER KING,06840787,3222 N 90TH ST,OMAHA,NE,US,71
ZPL3056375,BURGER KING,01218501,1400 NATIONAL HWY,THOMASVILLE,NC,US,71
ZPL3056380,FIVE GUYS BURGERS AND FRIES,05296948,747 BROAD ST,SHREWSBURY,NJ,US,71
ZPL305639V,FIVE GUYS BURGERS AND FRIES,08889665,900 3RD AVE,HUNTINGTON,WV,US,71
ZPL305640X,DAIRY QUEEN,07241259,4902 OLD BROWNSBORO RD,LOUISVILLE,KY,US,71
ZPL305641S,BURGER KING,06004687,270 N STATE ROAD 135,GREENWOOD,IN,US,71
ZPL305642N,BURGER KING,08343900,550 N STATE ROAD 7,MARGATE,FL,US,71
ZPL305643I,BURGER KING,02341145,2122 E 10TH ST,INDIANAPOLIS,IN,US,71
ZPL305644D,RHODES 101,04692241,5040 US HIGHWAY 61 N,JACKSON,MO,US,71
ZPL3056458,BURGER KING,08996237,6760 22ND AVE N,SAINT PETERSBURG,FL,US,71
ZPL3056463,BURGER KING,07551177,290 N TALBERT BLVD,LEXINGTON,NC,US,71
ZPL305647Y,BURGER KING,05763207,2005 E 23RD AVE S,FREMONT,NE,US,71
ZPL305648T,FOOTHILLS 12,01464147,134 FOOTHILLS MALL,MARYVILLE,TN,US,71
ZPL305649O,BURGER KING,06412009,110 NORTHERN BLVD,GREENVALE,NY,US,71
ZPL305650Q,FIREHOUSE SUBS,00162251,11560 PANAMA CITY BEACH PKWY,PANAMA CITY,FL,US,71
ZPL305651L,BURGER KING,08267618,3700 CURTISS PKWY,MIAMI SPRINGS,FL,US,71
ZPL305652G,FIVE GUYS BURGERS AND FRIES,00173406,4105 CHESAPEAKE SQ BLVD,CHESAPEAKE,VA,US,71
ZPL305653B,BURGER KING,05210984,498 RANTOUL ST,BEVERLY,MA,US,71
ZPL3056546,BURGER KING,01684914,3102 TAYLORSVILLE RD,STATESVILLE,NC,US,71
ZPL3056551,BURGER KING,03410901,2760 GREENBRIAR PKWY SW,ATLANTA,GA,US,71
ZPL305656W,FIVE GUYS BURGERS AND FRIES,01919258,537 LINCOLN ST STE 13,WORCESTER,MA,US,71
ZPL305657R,MOE'S SOUTHWEST GRILL,01534512,1241 PT MALLARD PKWY SE,DECATUR,AL,US,71
ZPL305658M,BURGER KING,01176965,1490 SW 8TH ST,BOYNTON BEACH,FL,US,71
ZPL305659H,BULLRITOS,05815490,4802 E SAM HOUSTON PKWY S,PASADENA,TX,US,71
ZPL305660J,BURGER KING,09768432,1529 W BROADWAY,COUNCIL BLUFFS,IA,US,71
ZPL305661E,FIVE GUYS BURGERS AND FRIES,01455133,1233 N EDDY ST STE 110,SOUTH BEND,IN,US,71
ZPL3056629,FIVE GUYS BURGERS AND FRIES,01458597,1169 NIMMO PKWY STE 246,VIRGINIA BEACH,VA,US,71
ZPL3056634,BURGER KING,06919260,3010 E SEMORAN BLVD,APOPKA,FL,US,71
ZPL305664Z,FIVE GUYS BURGERS AND FRIES,08198891,1217 BATTLEFIELD BLVD N,CHESAPEAKE,VA,US,71
ZPL305665U,BURGER KING,06437826,4201 HEMPSTEAD TPKE,BETHPAGE,NY,US,71
ZPL305666P,FIREHOUSE SUBS,01493342,2828 MOUNTAINEER BLVD,CHARLESTON,WV,US,71
ZPL305667K,BURGER KING,02139740,12491 APOPKA VINELAND RD,ORLANDO,FL,US,71
ZPL305668F,BURGER KING,09182314,53 BOSTON TPKE,SHREWSBURY,MA,US,71
ZPL305669A,FIVE GUYS BURGERS AND FRIES,01509367,1061 CHARLESTON TOWN CTR,CHARLESTON,WV,US,71
ZPL305670C,BURGER KING,06001912,7757 W IRLO BRONSON MEM HWY,KISSIMMEE,FL,US,71
ZPL3056717,BURGER KING,07173920,301 N US HIGHWAY 17 92,LONGWOOD,FL,US,71
ZPL3056722,DAIRY QUEEN,01540119,6205 BARDSTOWN RD,LOUISVILLE,KY,US,71
ZPL305673X,MOE'S SOUTHWEST GRILL,01626082,1305 W LANE AVE,COLUMBUS,OH,US,71
ZPL305674S,MOE'S SOUTHWEST GRILL,07782441,2628 WATSON BLVD STE A,WARNER ROBINS,GA,US,71
ZPL305675N,BURGER KING,08979944,10494 W SAMPLE RD,CORAL SPRINGS,FL,US,71
ZPL305676I,BURGER KING,02476584,36100 HWY 27,HAINES CITY,FL,US,71
ZPL305677D,DAIRY QUEEN,05599024,9515 US HIGHWAY 42,PROSPECT,KY,US,71
ZPL3056788,BURGER KING,09224607,3011 W STATE ROAD 426,OVIEDO,FL,US,71
ZPL3056793,BURGER KING,08821437,2305 MURFREESBORO PIKE,NASHVILLE,TN,US,71
ZPL3056805,BURGER KING,02139740,12491 APOPKA VINELAND RD,ORLANDO,FL,US,71
ZPL3056810,WENDYS,07724149,2111 SAPP BROTHERS DR,PERCIVAL,IA,US,71
ZPL305682V,BURGER KING,09401768,114 W BRANDON BLVD,BRANDON,FL,US,71
ZPL305683Q,BURGER KING,05464811,14999 N FLORIDA AVE,TAMPA,FL,US,71
ZPL305684L,BURGER KING,08995214,450 S ORLANDO AVE,WINTER PARK,FL,US,71
ZPL305685G,BURGER KING,08929874,2607 N HIAWASSEE RD,ORLANDO,FL,US,71
ZPL305686B,FIREHOUSE SUBS,05367497,4921 RIVERSIDE DR STE 4,MACON,GA,US,71
ZPL3056876,BURGER KING,02137208,109 MAIN ST,MEDWAY,MA,US,71
ZPL3056881,FIREHOUSE SUBS,05368809,3511 SE J ST,BENTONVILLE,AR,US,71
ZPL305689W,FIVE GUYS BURGERS AND FRIES,01466012,801 S UNIVERSITY DR STE B114,PLANTATION,FL,US,71
ZPL305690Y,FIVE GUYS BURGERS AND FRIES,05827715,201 W 21ST ST,NORFOLK,VA,US,71
ZPL305691T,FIVE GUYS BURGERS AND FRIES,01509367,1061 CHARLESTON TOWN CTR,CHARLESTON,WV,US,71
ZPL305692O,BURGER KING,08560706,1835 WASHINGTON ST,HANOVER,MA,US,71
ZPL305693J,BURGER KING,02363262,47 E MAIN ST,NORTH VERNON,IN,US,71
ZPL305694E,BURGER KING,01048368,1313 TURNER MCCALL BLVD SE,ROME,GA,US,71
ZPL3056959,CARMIKE,01464138,416 EXCHANGE BLVD,BETHLEHEM,GA,US,71
ZPL3056964,BURGER KING,09224616,1725 MALL OF GEORGIA BLVD,BUFORD,GA,US,71
ZPL305697Z,FANFARE EATERY,01517723,11861 PALACE WAY,FAIRFAX,VA,US,71
ZPL305698U,BURGER KING,05656273,2100 PETERS CREEK PKWY,WINSTON SALEM,NC,US,71
ZPL305699P,FIREHOUSE SUBS,01604390,10624 S EASTERN AVE STE S,HENDERSON,NV,US,71
ZPL305700C,IZZO'S ILLEGAL BURRITO,01966621,2010 JOHNSTON ST,LAFAYETTE,LA,US,71
ZPL3057017,BURGER KING,07623623,9031 OLD DIXIE HWY,LAKE PARK,FL,US,71
ZPL3057022,ZIPS DRIVE IN,00137359,725 E FRANCIS AVE,SPOKANE,WA,US,71
ZPL305703X,BURGER KING,02140381,1013 VALLEY RD,GILLETTE,NJ,US,71
ZPL305704S,BURGER KING,02138816,2240 MARTIN LUTHER KING JR DR,GREENSBORO,NC,US,71
ZPL305705N,BURGER KING,06928153,415 JONESTOWN RD,WINSTON SALEM,NC,US,71
ZPL305706I,PITA PIT,01614214,2401 E 10TH ST,SIOUX FALLS,SD,US,71
ZPL305707D,BURGER KING,03902846,2106 ROCKFORD ST,MOUNT AIRY,NC,US,71
ZPL3057088,BURGER KING,09743341,5921 RISING SUN AVE,PHILADELPHIA,PA,US,71
ZPL3057093,RHODES 101 STOP,02407111,535 N MAIN ST,SIKESTON,MO,US,71
ZPL3057105,FIVE GUYS BURGERS AND FRIES,08587056,658A DAWSONVILLE HWY,GAINESVILLE,GA,US,71
ZPL3057110,BURGER KING,06839771,1400 GALVIN RD S,BELLEVUE,NE,US,71
ZPL305712V,BURGER KING,03562616,460 US HIGHWAY 27 S,AVON PARK,FL,US,71
ZPL305713Q,FIVE GUYS BURGERS AND FRIES,08052390,804 INLET SQUARE DR,MURRELLS INLET,SC,US,71
ZPL305714L,BURGER KING,01286731,604 E LIBERTY ST,YORK,SC,US,71
ZPL305715G,BURGER KING,03488238,2205 US HIGHWAY 27 N,SEBRING,FL,US,71
ZPL305716B,BURGER KING,08160384,2388 LEBANON PIKE,NASHVILLE,TN,US,71
ZPL3057176,BURGER KING,04250761,1601 S MAIN ST,LILLINGTON,NC,US,71
ZPL3057181,WENDYS,03543196,1689 WILLARD DR,FREEPORT,IL,US,71
ZPL305719W,BURGER KING,07667981,2100 W ROOSEVELT BLVD,MONROE,NC,US,71
ZPL305720Y,FIVE GUYS BURGERS AND FRIES,00197645,197 BOSTON POST RD W STE K1,MARLBOROUGH,MA,US,71
ZPL305721T,KO LAB,05155423,384 NORTHYARDS BLVD NW STE 690,ATLANTA,GA,US,71
ZPL305722O,BURGER KING,02137097,357 MAIN ST,READING,MA,US,71
ZPL305724E,QDOBA MEXICAN GRILL,07782964,1005 BEAVER CREEK COMMONS DR,APEX,NC,US,71
ZPL3057259,ATLANTA SYRUP PLANT,01005176,3791 BROWNS MILL RD SE,ATLANTA,GA,US,71
ZPL3057264,NOODLES & COMPANY,01494129,2205 E COLFAX AVE,DENVER,CO,US,71
ZPL305727Z,WENDYS,07549512,100 S GREENSBORO ST,CARRBORO,NC,US,71
ZPL305728U,WENDYS,04555150,101 RIVER OAKS DR,TARBORO,NC,US,71
ZPL305729P,NOODLES & COMPANY,01595144,3300 BEE CAVE RD STE 200,AUSTIN,TX,US,71
ZPL305730R,BURGER KING,00648124,3314 GREENSBORO HWY,QUINCY,FL,US,71
ZPL305731M,WENDYS,09751424,3855 VETERANS MEMORIAL BLVD,METAIRIE,LA,US,71
ZPL305732H,BURGERFI,01522619,2716 N UNIVERSITY DR,CORAL SPRINGS,FL,US,71
ZPL305733C,BURGER KING,06005632,1106 S ROCHESTER RD,ROCHESTER HILLS,MI,US,71
ZPL3057347,WENDYS,09848444,601 MEMORIAL DR,WAYCROSS,GA,US,71
ZPL3057352,BURGERFI,01617076,1501 LAKE ROBBINS DR,THE WOODLANDS,TX,US,71
ZPL305736X,QDOBA MEXICAN GRILL,01619755,951 29TH ST SE,WATERTOWN,SD,US,71
ZPL305738N,NOODLES & COMPANY,05425242,4530 W 121ST AVE,BROOMFIELD,CO,US,71
ZPL305739I,SODEXO CAMPUS SERVICES,09439943,900 WOOD RD,KENOSHA,WI,US,71
ZPL305740K,NCG CINEMA,04611980,2500 SHOWTIME DR,LANSING,MI,US,71
ZPL305742A,ELEVATION BURGER,01545682,11943U FAIR OAKS MALL G219A,FAIRFAX,VA,US,71
ZPL3057435,WENDYS,02563126,2554 W INTERSTATE 20,GRAND PRAIRIE,TX,US,71
ZPL3057440,BURGERFI,01617084,11309 BANDERA RD,SAN ANTONIO,TX,US,71
ZPL305745V,BURGERFI,01617076,1501 LAKE ROBBINS DR,THE WOODLANDS,TX,US,71
ZPL305746Q,QDOBA MEXICAN GRILL,07875202,603 W DICKSON ST,FAYETTEVILLE,AR,US,71
ZPL305747L,YOUR PIE,01010866,1430 CAPITAL AVE,WATKINSVILLE,GA,US,71
ZPL305748G,WENDYS,05013890,4051 MILLENIA BLVD,ORLANDO,FL,US,71
ZPL305749B,WENDYS,09494537,3300 HIGHWAY 278 NE,COVINGTON,GA,US,71
ZPL305750D,WENDYS,07698062,1301 SAINT CHARLES AVE,NEW ORLEANS,LA,US,71
ZPL3057518,FAZOLIS,01642552,2449 JACKSBORO PIKE,LA FOLLETTE,TN,US,71
ZPL3057523,TOSSED,01565194,1 POST OFFICE SQ,BOSTON,MA,US,71
ZPL305753Y,ECU DESTINATION 360,05678234,E 5TH ST,GREENVILLE,NC,US,71
ZPL305754T,SILVER MINE SUBS,03700750,1100 28TH ST APT 200,BOULDER,CO,US,71
ZPL305756J,NOODLES & COMPANY,01595147,3030 EVANS ST,GREENVILLE,NC,US,71
ZPL305757E,BURGER KING,01811474,4063 FORT ST,LINCOLN PARK,MI,US,71
ZPL3057589,WENDYS,07359009,2815 RALEIGH ROAD PKWY W,WILSON,NC,US,71
ZPL3057594,WENDYS,00143834,2906 S 4TH ST,LEAVENWORTH,KS,US,71
ZPL3057611,FAZOLI'S,04216881,499 WINCHESTER AVE,ASHLAND,KY,US,71
ZPL305762W,QDOBA MEXICAN GRILL,06249286,6100 E CROSSROADS BLVD,LOVELAND,CO,US,71
ZPL305765H,NOODLES & COMPANY,09825449,4238 WILSON BLVD STE 1130,ARLINGTON,VA,US,71
ZPL305766C,QDOBA MEXICAN GRILL,08573527,2222 WALNUT ST,CARY,NC,US,71
ZPL3057677,NOODLES & COMPANY,04590274,8071 WADSWORTH BLVD UNIT 1C,ARVADA,CO,US,71
ZPL3057682,QDOBA MEXICAN GRILL,05307907,803 N 16TH ST,MILWAUKEE,WI,US,71
ZPL305769X,NOODLES & COMPANY,01567206,2245 W STADIUM BLVD,ANN ARBOR,MI,US,71
ZPL305770Z,QDOBA MEXICAN GRILL,00699263,2720 COUNCIL TREE AVE STE 118,FORT COLLINS,CO,US,71
ZPL305772P,ELEVATION BURGER,01510154,85 WESTERN AVE,SOUTH PORTLAND,ME,US,71
ZPL305773K,BURGERFI,01579157,1955 E HALLANDALE BEACH BLVD,HALLANDALE BEACH,FL,US,71
ZPL305774F,WENDYS,02721244,2534 BERT KOUNS INDUSTRIAL LOO,SHREVEPORT,LA,US,71
ZPL305775A,MARGARITAVILLE REST AND,01638352,777 MARGARITAVILLE WAY,BOSSIER CITY,LA,US,71
ZPL3057765,WENDYS,08794201,7920 W 95TH ST,HICKORY HILLS,IL,US,71
ZPL3057770,QDOBA MEXICAN GRILL,01587660,14575 W 64TH AVE UNIT A,ARVADA,CO,US,71
ZPL305778V,QDOBA MEXICAN GRILL,08637509,11169 E I25 FRONTAGE RD,FIRESTONE,CO,US,71
ZPL305779Q,WENDYS,09848444,601 MEMORIAL DR,WAYCROSS,GA,US,71
ZPL305782I,QDOBA MEXICAN GRILL,08087453,2513 S SHIELDS ST,FORT COLLINS,CO,US,71
ZPL305783D,MCDONALDS,08174148,1499 3RD AVE,NEW YORK,NY,US,71
ZPL3057848,QDOBA MEXICAN GRILL,06135884,3871 RIVERTOWN PKWY SW,GRANDVILLE,MI,US,71
ZPL3057853,NOODLES & COMPANY,04590304,7301 S SANTA FE DR,LITTLETON,CO,US,71
ZPL305786Y,BURGERFI,01617069,5475 WINDWARD PKWY,ALPHARETTA,GA,US,71
ZPL305787T,BURGER KING,02498133,811 MADISON AVE N,DOUGLAS,GA,US,71
ZPL305789J,BURGER KING,06244157,5343 YOUNGSTOWN WARREN RD,NILES,OH,US,71
ZPL305790L,WENDY'S,02853111,8586 YOUREE DR,SHREVEPORT,LA,US,71
ZPL305791G,WENDYS,06960511,1630 NC HIGHWAY 67,JONESVILLE,NC,US,71
ZPL305792B,MARGARITAVILLE REST AND,01638352,777 MARGARITAVILLE WAY,BOSSIER CITY,LA,US,71
ZPL3057936,WENDY'S,01509587,1170 PERIMETER CTR W,SANDY SPRINGS,GA,US,71
ZPL305795W,BURGERFI,01617077,2844 S MAIN ST NW,KENNESAW,GA,US,71
ZPL305796R,LEVINE CHILDREN HOSPITAL,01594135,1000 BLYTHE BLVD FL 1,CHARLOTTE,NC,US,71
ZPL305797M,WENDYS,09490141,662 N RIVERSIDE DR,CLARKSVILLE,TN,US,71
ZPL305798H,QDOBA MEXICAN GRILL,02353984,1104 W ELIZABETH ST,FORT COLLINS,CO,US,71
ZPL305799C,QDOBA MEXICAN GRILL,01803179,14231 W COLFAX AVE,LAKEWOOD,CO,US,71
ZPL305801U,SEAWORLD ORLANDO,01640112,7007 SEA HARBOR DR,ORLANDO,FL,US,71
ZPL305802P,BURGERFI,01604369,1520 AVENUE PL STE B-140,ATLANTA,GA,US,71
ZPL305803K,WENDYS,02831911,176 BOSTON POST RD W,MARLBOROUGH,MA,US,71
ZPL305804F,COLORADO STATE UNIV DURRELL,06172300,DURRELL HALL,FORT COLLINS,CO,US,71
ZPL305805A,QDOBA MEXICAN GRILL,04189006,8200 PROVIDENCE RD STE 100,CHARLOTTE,NC,US,71
ZPL3058065,NOODLES & COMPANY,04591785,10355 FEDERAL BLVD UNIT H,WESTMINSTER,CO,US,71
ZPL3058070,BURGER KING,09233339,154 S MAIN ST,BAXLEY,GA,US,71
ZPL305809Q,BURGERFI,01617071,5701 W SLAUGHTER LN BLDG B150,AUSTIN,TX,US,71
ZPL305811N,SEAWORLD ORLANDO,01640112,7007 SEA HARBOR DR,ORLANDO,FL,US,71
ZPL305812I,QDOBA MEXICAN GRILL,08013913,1281 E MAGNOLIA ST,FORT COLLINS,CO,US,71
ZPL305813D,WENDYS,04555150,101 RIVER OAKS DR,TARBORO,NC,US,71
ZPL3058148,WENDYS,01622576,9535 CULEBRA RD,SAN ANTONIO,TX,US,71
ZPL3058153,WENDYS,07698062,1301 SAINT CHARLES AVE,NEW ORLEANS,LA,US,71
ZPL305816Y,BURGERFI,01617069,5475 WINDWARD PKWY,ALPHARETTA,GA,US,71
ZPL305817T,MARGARITAVILLE REST AND,01638352,777 MARGARITAVILLE WAY,BOSSIER CITY,LA,US,71
ZPL305819J,LARKBURGER,01591322,4660 W 121ST AVE,BROOMFIELD,CO,US,71
ZPL305820L,OGILVY & MATHER,01534770,271 17TH ST NW STE 2100,ATLANTA,GA,US,71
ZPL305821G,QDOBA MEXICAN GRILL,01380316,210 HINTON OAKS BLVD STE A,KNIGHTDALE,NC,US,71
ZPL305822B,SANDOW MEDIA,01426519,3651 NW 8TH AVE STE 200,BOCA RATON,FL,US,71
ZPL3058236,GA TECH WOODRUFF HALL,03166937,890 CURRAN ST NW,ATLANTA,GA,US,71
ZPL3058241,QDOBA MEXICAN GRILL,01103275,8246D W BOWLES AVE,LITTLETON,CO,US,71
ZPL305825W,ATLANTA BREAD COMPANY,03868546,45 PEMBROKE DR STE 120,HILTON HEAD ISLAND,SC,US,71
ZPL305826R,KIMBERLY CLARK CAFETERIA,08446032,351 PHELPS DR,IRVING,TX,US,71
ZPL305827M,BURGERFI,01582315,18139 BISCAYNE BLVD,AVENTURA,FL,US,71
ZPL305828H,WENDYS,01495706,709 WASHINGTON ST,FRANKLINTON,LA,US,71
ZPL305829C,BURGER KING,04646916,9018 S US HIGHWAY 1,PORT SAINT LUCIE,FL,US,71
ZPL305830E,WENDYS,07728616,1317 N SAGINAW BLVD,SAGINAW,TX,US,71
ZPL3058319,QDOBA MEXICAN GRILL,02038124,250 E HARMONY RD,FORT COLLINS,CO,US,71
ZPL3058324,QDOBA MEXICAN GRILL,02219217,7800 REA RD STE F,CHARLOTTE,NC,US,71
ZPL305834U,WENDYS,02298486,2214 ERIC LN,BURLINGTON,NC,US,71
ZPL305835P,WENDY'S,01637333,9192 GLADES RD STE A,BOCA RATON,FL,US,71
ZPL305836K,NOODLES & COMPANY,01628668,5601 BRODIE LN STE 1500,SUNSET VALLEY,TX,US,71
ZPL305838A,WENDY'S,01592370,2398 E IRLO BRONSON MEM HWY,KISSIMMEE,FL,US,71
ZPL3058395,CACTUS CAR WASH,01597887,2777 CHAPEL HILL RD,DOUGLASVILLE,GA,US,71
ZPL3058407,WENDYS,09723871,1115 34TH ST N,SAINT PETERSBURG,FL,US,71
ZPL3058412,RED ROBIN BURGER WORKS,01512236,8270 NORTHFIELD BLVD STE 1493,DENVER,CO,US,71
ZPL305842X,QDOBA MEXICAN GRILL,04574554,16926 BIRKDALE CMNS PKWY,HUNTERSVILLE,NC,US,71
ZPL305844N,BURGERFI,01617086,2800 WESTON RD STE 2810,WESTON,FL,US,71
ZPL305845I,UNIV STUD/IOA/BURGER DIGS,02125999,1000 UNIVERSAL STUDIOS PLZ,ORLANDO,FL,US,71
ZPL305846D,WENDYS,09751424,3855 VETERANS MEMORIAL BLVD,METAIRIE,LA,US,71
ZPL3058478,WENDYS,01227521,6210 20TH ST,VERO BEACH,FL,US,71
ZPL305849Y,WENDYS,02721244,2534 BERT KOUNS INDUSTRIAL LOO,SHREVEPORT,LA,US,71
ZPL3058500,QDOBA MEXICAN GRILL,09336227,1440 10TH ST SW,LOVELAND,CO,US,71
ZPL305851V,QDOBA MEXICAN GRILL,01591346,2638 S TIMBERLINE RD STE 100,FORT COLLINS,CO,US,71
ZPL305852Q,LARKBURGER,01572350,11985 WASHINGTON ST,NORTHGLENN,CO,US,71
ZPL305853L,WENDYS,07728616,1317 N SAGINAW BLVD,SAGINAW,TX,US,71
ZPL305854G,NORTHEASTERN UNIV ON THE GO,01589668,360 HUNTINGTON AVE,BOSTON,MA,US,71
ZPL305855B,BURGER KING,06931731,7320 HIGHLAND RD,WATERFORD,MI,US,71
ZPL3058566,BURGERFI,01617071,5701 W SLAUGHTER LN BLDG B150,AUSTIN,TX,US,71
ZPL3058571,NOODLES & COMPANY,09399505,903 INDIANA AVE,INDIANAPOLIS,IN,US,71
ZPL305858W,WENDYS,08970793,390 SILVER BRIDGE PLZ,GALLIPOLIS,OH,US,71
ZPL305859R,ST THOMAS HOSPITAL,02003389,444 N MAIN ST,AKRON,OH,US,71
ZPL305860T,ECU DESTINATION 360,05678234,E 5TH ST,GREENVILLE,NC,US,71
ZPL305862J,WENDY'S,01592371,2210 SW GATLIN BLVD,PORT SAINT LUCIE,FL,US,71
ZPL305863E,QDOBA MEXICAN GRILL,07843203,2301 CLOVER BASIN DR STE 2311,LONGMONT,CO,US,71
ZPL3058649,BURGERFI,01551134,538 S PARK AVE,WINTER PARK,FL,US,71
ZPL3058654,BURGERFI,01551134,538 S PARK AVE,WINTER PARK,FL,US,71
ZPL305867U,NOODLES & COMPANY,04590729,2110 FORD PKWY,SAINT PAUL,MN,US,71
ZPL305868P,QDOBA MEXICAN GRILL,08407253,2527 11TH AVE,GREELEY,CO,US,71
ZPL305869K,QDOBA MEXICAN GRILL,07521826,4626 CENTERPLACE DR,GREELEY,CO,US,71
ZPL305870M,QDOBA MEXICAN GRILL,08462156,6430 GREEN BAY RD,KENOSHA,WI,US,71
ZPL305871H,NOODLES & COMPANY,04590045,1100 W DILLON RD STE 1,LOUISVILLE,CO,US,71
ZPL305872C,GIANT EAGLE,02439110,5550 CENTRE AVE,PITTSBURGH,PA,US,71
ZPL3058737,BURGER KING,01811474,4063 FORT ST,LINCOLN PARK,MI,US,71
ZPL3058742,BURGERFI,01637672,5001 PADRE BLVD,SOUTH PADRE ISLAND,TX,US,71
ZPL305875X,WENDYS,02993872,1502 W MCCLAIN AVE,SCOTTSBURG,IN,US,71
ZPL305877N,QDOBA MEXICAN GRILL,01962413,127 N TRYON ST,CHARLOTTE,NC,US,71
ZPL305878I,ATLANTA BREAD COMPANY,03734956,351 W 104TH AVE,NORTHGLENN,CO,US,71
ZPL305879D,SWEET PEPPERS DELI,05175696,1000 HIGHLAND COLONY PKWY,RIDGELAND,MS,US,71
ZPL305880F,WENDYS,02116915,2780 AIRLINE DR,BOSSIER CITY,LA,US,71
ZPL305881A,WENDYS,03748524,1808 S MIAMI BLVD,DURHAM,NC,US,71
ZPL3058825,QDOBA MEXICAN GRILL,07667626,3101 EDWARDS MILL RD STE 102,RALEIGH,NC,US,71
ZPL3058830,NOODLES & COMPANY,04590729,2110 FORD PKWY,SAINT PAUL,MN,US,71
ZPL305884V,WENDYS,05013890,4051 MILLENIA BLVD,ORLANDO,FL,US,71
ZPL305885Q,MARGARITAVILLE REST AND,01638352,777 MARGARITAVILLE WAY,BOSSIER CITY,LA,US,71
ZPL305886L,QDOBA MEXICAN GRILL,01449977,2005 PROMENADE BLVD STE 100,ROGERS,AR,US,71
ZPL305887G,WENDY'S,01578882,3630 RIVERSIDE DR,MACON,GA,US,71
