machine,ZPL3000932,FUDDRUCKERS,03992039,8285 MIRA MESA BLVD,SAN DIEGO,CA,US,32.91263,-117.144225
machine,ZPL300094X,PORT OF SUBS,05307036,3570 S VAL VISTA DR STE 111,GILBERT,AZ,US,33.287252,-111.755358
machine,ZPL300095S,7 ELEVEN,01342412,1775 BLAKE ST,DENVER,CO,US,39.752236,-104.997258
machine,ZPL300096N,PEI WEI ASIAN DINER,01449407,1730 N FEDERAL HWY,FORT LAUDERDALE,FL,US,26.15008,-80.119533
machine,ZPL300097I,PEI WEI ASIAN DINER,03889616,8787 N SCOTTSDALE RD,SCOTTSDALE,AZ,US,33.576741,-111.926031
machine,ZPL300098D,BURGER KING,05274923,1727 E PLATTE AVE,COLORADO SPRINGS,CO,US,38.837125,-104.795613
machine,ZPL3000998,FUDDRUCKERS,03992039,8285 MIRA MESA BLVD,SAN DIEGO,CA,US,32.91263,-117.144225
machine,ZPL300100V,7 ELEVEN,02017377,6302 E 72ND AVE,COMMERCE CITY,CO,US,39.827149,-104.915426
machine,ZPL300101Q,PEI WEI ASIAN DINER,07276945,5285 E BROADWAY BLVD STE 151,TUCSON,AZ,US,32.221656,-110.87965
machine,ZPL300102L,FUDDRUCKERS,02743884,13010 NORTHWEST FWY,HOUSTON,TX,US,30.013086,-95.427543
machine,ZPL300103G,FUDDRUCKERS,05811703,3421 N EAGLE RD,MERIDIAN,ID,US,43.635962,-116.354502
machine,ZPL300104B,PORT OF SUBS,08749693,6572 N DECATUR BLVD STE 130,LAS VEGAS,NV,US,36.287504,-115.206608
machine,ZPL3001056,PEI WEI ASIAN DINER,04859893,20022 N 67TH AVE STE 100,GLENDALE,AZ,US,33.664371,-112.204813
machine,ZPL3001061,FUDDRUCKERS,05811703,3421 N EAGLE RD,MERIDIAN,ID,US,43.635962,-116.354502
machine,ZPL300107W,FUDDRUCKERS,02743884,13010 NORTHWEST FWY,HOUSTON,TX,US,30.013086,-95.427543
machine,ZPL300109M,BURGER KING,02476228,520 E 58TH AVE,DENVER,CO,US,39.801952,-104.97805
machine,ZPL300111J,FUDDRUCKERS,04624675,1612 AIRPORT FWY,BEDFORD,TX,US,32.836481,-97.141584
machine,ZPL300112E,DAIRY QUEEN GRILL N CHILL,04808520,7700 NORMANDALE BLVD,EDINA,MN,US,44.896797,-93.35058
machine,ZPL3001139,PORT OF SUBS,09824206,6080 W BADURA AVE,LAS VEGAS,NV,US,36.062598,-115.205941
machine,ZPL3001144,FUDDRUCKERS,04624675,1612 AIRPORT FWY,BEDFORD,TX,US,32.836481,-97.141584
machine,ZPL300115Z,GODFATHERS PIZZA,07729731,7920 S 84TH ST,LAVISTA,NE,US,41.181802,-96.043037
machine,ZPL300116U,COCA-COLA BOTTLING,06732275,7400 N OAK PARK AVE,NILES,IL,US,41.909022,-87.795052
machine,ZPL300117P,THE BURGER JOINT,01447776,6250 COLUMBIA CROSSING CIR,COLUMBIA,MD,US,39.198,-76.814606
machine,ZPL300118K,PORT OF SUBS,06782388,729 W LACEY BLVD STE 2,HANFORD,CA,US,36.327985,-119.65823
machine,ZPL300120H,BUILT,01605233,3584 S FIGUEROA ST STE 4,LOS ANGELES,CA,US,34.019036,-118.281707
machine,ZPL300121C,PORT OF SUBS,09023194,1541 E NOBLE AVE,VISALIA,CA,US,36.325352,-119.275627
machine,ZPL3001227,Training Dispenser,10101010,1150 Sanctuary Parkway,Alpharetta,GA,,34.049493,-84.315773
machine,ZPL3001232,PEI WEI ASIAN DINER,01619948,4114 SEPULVEDA BLVD STE E,CULVER CITY,CA,US,34.006884,-118.412734
machine,ZPL300124X,PEI WEI ASIAN DINER,01405300,18801-B BISCAYNE BLVD,AVENTURA,FL,US,25.949361,-80.146621
machine,ZPL300126N,PORT OF SUBS,01573063,2900 CLEAR ACRE LN STE U,RENO,NV,US,39.557945,-119.791474
